sector,revenue_million,revenue_growth_rate,burn_rate_million,runway_months,funding_rounds,team_size,founder_experience_years,has_technical_cofounder,product_traction_users,customer_growth_rate,enterprise_customers,market_size_billion,business_model,geography,investor_type,founder_background,outcome
Health,0.0,,5.0,0.0,0,247,3,1,194061,,77,350,Subscription,Other,none,ex_bigtech,Acquisition
Other,105.52,120.0,422.08,3.6,1,281,18,0,112586,69.0,45,100,Subscription,North America,none,ex_bigtech,IPO
SaaS,4.0,120.0,10.0,3.6,1,20,0,1,120192,62.5,84,250,Subscription,North America,tier1_vc,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,102,16,1,20981,,8,100,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,179,23,1,64264,,25,100,Subscription,Other,none,first_time,Acquisition
Health,0.0,,5.0,0.0,0,112,11,0,26425,,10,350,Subscription,Europe,none,ex_bigtech,Acquisition
Other,1.0,120.0,4.0,3.6,1,235,13,0,57008,87.9,22,100,Subscription,North America,tier2_vc,ex_bigtech,Failure
Other,0.49,120.0,1.98,3.6,1,80,19,1,55637,114.5,22,100,Subscription,North America,none,serial_founder,Failure
Other,1.46,33.2,0.81,12.5,2,237,5,0,222436,67.1,88,100,Subscription,Europe,tier2_vc,first_time,Failure
Other,0.0,,5.0,0.0,0,142,24,0,41337,,16,100,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,222,14,0,71376,,28,100,Subscription,Other,none,ex_bigtech,Acquisition
Health,0.0,,5.0,0.0,0,91,2,1,90046,,36,350,Subscription,North America,none,first_time,Acquisition
Other,1.12,300.0,4.35,0.0,3,33,18,1,297276,290.5,118,100,Subscription,Europe,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,296,5,1,77661,,31,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,166,11,0,36555,,14,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,8,2,0,103001,,41,100,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,90,3,1,140103,,56,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,69,16,0,169221,,67,100,Subscription,Europe,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,9,21,0,47640,,19,100,Subscription,North America,none,first_time,Acquisition
Other,1.0,120.0,4.0,3.6,1,146,11,1,31149,94.9,12,100,Subscription,North America,tier2_vc,academic,IPO
Other,0.0,,5.0,0.0,0,27,1,1,39829,,15,100,Subscription,Europe,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,264,4,1,138702,,97,250,Subscription,Other,none,ex_bigtech,Acquisition
Other,6.25,120.0,25.0,3.6,1,160,19,1,165688,85.5,66,100,Subscription,North America,tier1_vc,serial_founder,Acquisition
SaaS,0.0,,5.0,0.0,0,120,0,1,179744,,125,250,Subscription,Other,none,first_time,Acquisition
SaaS,28.0,46.6,6.79,7.4,4,158,4,1,564684,38.3,395,250,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
Other,11.0,62.8,11.52,6.9,2,198,24,1,395096,40.3,158,100,Subscription,North America,tier2_vc,first_time,Acquisition
SaaS,3.58,120.0,8.96,3.6,1,295,14,1,69425,107.6,48,250,Subscription,Other,tier2_vc,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,103,23,1,193459,,135,250,Subscription,Europe,none,ex_bigtech,Acquisition
Ecommerce,0.0,,5.0,0.0,0,201,6,0,82465,,16,180,Marketplace,North America,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,264,16,1,84377,,59,250,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,7,23,1,149013,,59,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,217,9,1,38271,,15,100,Subscription,Other,none,academic,Acquisition
Other,7.25,59.9,7.24,0.7,2,153,13,1,80028,17.7,32,100,Subscription,North America,tier1_vc,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,277,3,1,75956,,53,250,Subscription,North America,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,228,20,1,185120,,129,250,Subscription,Oceania,none,ex_bigtech,Acquisition
SaaS,9.85,53.8,5.52,2.6,2,63,4,1,300602,22.1,210,250,Subscription,North America,tier2_vc,first_time,Acquisition
Health,2.61,300.0,13.03,1.5,3,41,12,1,131757,250.7,52,350,Subscription,North America,none,first_time,IPO
SaaS,36.4,120.0,91.0,3.6,1,292,4,0,151081,123.8,105,250,Subscription,North America,tier2_vc,serial_founder,Acquisition
SaaS,2.16,120.0,5.4,3.6,1,63,3,1,127134,56.4,88,250,Subscription,North America,tier2_vc,first_time,Acquisition
SaaS,32.8,44.8,10.22,7.0,3,7,4,1,184233,11.7,128,250,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,232,0,0,74726,,29,100,Subscription,Europe,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,72,10,1,32526,,13,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,146,8,0,186422,,74,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,178,21,0,194735,,77,100,Subscription,North America,none,serial_founder,IPO
Other,0.0,,5.0,0.0,0,20,10,1,137611,,55,100,Subscription,North America,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,8,0,1,49519,,19,100,Subscription,North America,none,first_time,Acquisition
Other,5.0,120.0,20.0,3.6,1,170,2,0,82250,80.5,32,100,Subscription,North America,none,academic,IPO
Other,0.0,,5.0,0.0,0,84,12,1,46931,,18,100,Subscription,North America,none,ex_bigtech,Acquisition
Ecommerce,0.0,,5.0,0.0,0,39,3,0,191648,,38,180,Marketplace,North America,none,academic,IPO
SaaS,0.0,,5.0,0.0,0,102,20,1,195956,,137,250,Subscription,North America,none,first_time,Acquisition
Other,12.9,94.7,10.18,2.5,4,81,4,0,735468,91.7,294,100,Subscription,Europe,tier2_vc,academic,Failure
Other,0.0,,5.0,0.0,0,28,4,1,43923,,17,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,23.75,86.1,34.06,3.7,2,181,7,0,150432,74.7,60,100,Subscription,North America,tier1_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,158,9,1,155696,,62,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,260,19,1,122158,,48,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,108,11,0,22084,,8,100,Subscription,Other,none,first_time,Acquisition
Ecommerce,0.0,,5.0,0.0,0,245,18,0,141389,,28,180,Marketplace,Other,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,213,23,1,165097,,115,250,Subscription,North America,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,58,22,1,28312,,11,100,Subscription,North America,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,98,18,1,165445,,66,100,Subscription,Europe,none,first_time,Acquisition
Other,1.01,225.8,3.82,0.1,2,124,22,0,294764,189.7,117,100,Subscription,Other,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,74,19,1,58994,,23,100,Subscription,Other,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,110,5,1,127279,,50,100,Subscription,Other,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,110,15,0,104680,,73,250,Subscription,Other,none,first_time,Failure
Other,0.0,,5.0,0.0,0,141,5,1,72979,,29,100,Subscription,Other,none,academic,Acquisition
Other,2.5,120.0,10.0,3.6,1,115,19,0,41306,85.8,16,100,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,119,17,1,193761,,77,100,Subscription,Europe,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,296,2,1,163983,,65,100,Subscription,North America,none,first_time,Acquisition
SaaS,0.26,120.0,0.64,1.9,1,117,15,1,166887,107.0,116,250,Subscription,North America,none,first_time,Failure
Other,0.0,,5.0,0.0,0,75,11,0,89078,,35,100,Subscription,North America,none,first_time,IPO
Other,0.0,,5.0,0.0,0,89,8,1,33630,,13,100,Subscription,North America,none,first_time,Acquisition
Health,2.68,240.0,13.4,0.9,2,294,16,1,335764,191.2,134,350,Subscription,North America,tier2_vc,first_time,Failure
Other,0.0,,5.0,0.0,0,219,22,0,159355,,63,100,Subscription,North America,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,14,15,1,150146,,60,100,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,115,4,1,63658,,25,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,58,5,0,27110,,10,100,Subscription,Other,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,120,5,1,112959,,45,100,Subscription,North America,none,first_time,IPO
Other,21.75,120.0,87.0,3.6,1,87,8,0,68717,98.1,27,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,127,1,1,186885,,130,250,Subscription,Europe,none,first_time,Acquisition
Other,17.0,120.0,68.0,3.6,1,223,3,0,68590,113.9,27,100,Subscription,North America,tier2_vc,first_time,Failure
Other,15.0,120.0,60.0,3.6,1,298,13,1,61893,112.6,24,100,Subscription,North America,tier2_vc,first_time,IPO
Other,11.0,120.0,44.0,3.6,1,236,10,0,128833,82.2,51,100,Subscription,Other,tier1_vc,serial_founder,Acquisition
Ecommerce,24.0,120.0,40.0,3.6,1,267,2,1,51042,112.5,10,180,Marketplace,Europe,tier2_vc,first_time,Acquisition
Other,34.8,47.2,18.25,3.8,3,65,7,1,325455,35.7,130,100,Subscription,North America,tier1_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,240,0,1,154048,,61,100,Subscription,Europe,none,serial_founder,Acquisition
Other,10.12,69.6,11.75,3.2,2,179,14,1,129084,63.8,51,100,Subscription,North America,tier2_vc,academic,Acquisition
Fintech,0.0,,5.0,0.0,0,56,15,0,145874,,72,200,Transaction-fee,North America,none,first_time,IPO
Fintech,0.0,,5.0,0.0,0,272,1,1,58893,,29,200,Transaction-fee,North America,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,278,23,0,73110,,51,250,Subscription,Other,none,first_time,Acquisition
SaaS,48.96,240.0,122.4,2.9,2,51,24,1,54392,207.3,38,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,13.84,75.8,17.48,7.0,2,95,12,1,41734,102.9,16,100,Subscription,North America,tier2_vc,first_time,Acquisition
Fintech,7.2,120.0,24.0,3.6,1,180,0,0,178629,73.7,89,200,Transaction-fee,North America,none,first_time,IPO
Other,15.85,119.0,31.44,4.2,2,125,2,1,201660,61.8,80,100,Subscription,North America,tier2_vc,first_time,Acquisition
Other,16.2,53.7,9.66,11.9,3,227,23,0,380751,37.3,152,100,Subscription,Europe,tier2_vc,first_time,Acquisition
Health,6.0,54.0,6.75,3.2,2,111,21,0,333858,82.5,133,350,Subscription,North America,none,ex_bigtech,IPO
SaaS,20.07,70.9,7.41,0.7,4,109,4,0,326940,43.9,228,250,Subscription,North America,tier2_vc,first_time,Acquisition
Health,0.0,,5.0,0.0,0,36,6,0,34281,,13,350,Subscription,North America,none,serial_founder,Acquisition
SaaS,0.0,,5.0,0.0,0,217,12,0,142758,,99,250,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,22,15,1,37027,,25,250,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,183,7,0,92106,,36,100,Subscription,North America,none,serial_founder,Acquisition
Other,0.0,120.0,0.0,0.0,1,161,17,0,162634,86.7,65,100,Subscription,North America,tier2_vc,first_time,IPO
Other,0.0,,5.0,0.0,0,243,6,0,22265,,8,100,Subscription,North America,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,235,22,1,77546,,31,100,Subscription,North America,none,first_time,IPO
Other,0.0,,5.0,0.0,0,158,17,0,157228,,62,100,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,227,3,1,20798,,14,250,Subscription,North America,none,first_time,Acquisition
Other,27.0,79.5,23.86,11.5,3,268,23,0,228918,36.2,91,100,Subscription,North America,tier1_vc,serial_founder,Failure
Other,0.0,,5.0,0.0,0,35,18,1,62223,,24,100,Subscription,North America,none,academic,IPO
Other,0.0,,5.0,0.0,0,140,11,1,62375,,24,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,242,15,1,20929,,8,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,47,7,1,49349,,19,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,55,22,1,152552,,61,100,Subscription,Other,none,first_time,Acquisition
Health,28.2,120.0,141.0,3.6,1,225,0,1,93759,78.9,37,350,Subscription,North America,none,first_time,IPO
Other,0.0,,5.0,0.0,0,151,19,1,156267,,62,100,Subscription,Other,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,12,7,1,156926,,62,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,90,14,1,113740,,45,100,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,78,5,1,69476,,27,100,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,120.0,0.0,0.0,1,179,9,1,47846,108.1,19,100,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,296,22,0,99763,,39,100,Subscription,Other,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,202,7,1,116828,,81,250,Subscription,North America,none,academic,Acquisition
SaaS,1.2,120.0,3.0,3.6,1,260,3,1,25729,89.4,18,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,246,10,1,111960,,44,100,Subscription,Other,none,first_time,Failure
Other,0.0,,5.0,0.0,0,169,23,0,193392,,77,100,Subscription,North America,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,237,14,0,63588,,25,100,Subscription,Other,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,290,4,1,38902,,27,250,Subscription,Other,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,154,3,1,124293,,87,250,Subscription,North America,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,295,18,0,70896,,28,100,Subscription,North America,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,82,2,1,194797,,136,250,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,184,23,1,187847,,75,100,Subscription,Other,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,61,8,1,86220,,60,250,Subscription,North America,none,academic,Acquisition
SaaS,0.0,,5.0,0.0,0,211,23,1,27834,,19,250,Subscription,Other,none,first_time,Acquisition
SaaS,0.04,120.0,0.1,0.3,1,78,20,1,94073,80.1,65,250,Subscription,Other,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,97,17,0,144261,,100,250,Subscription,Oceania,none,first_time,Acquisition
Other,5.0,32.3,2.7,26.7,2,234,19,0,61960,36.6,24,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
SaaS,0.0,120.0,0.0,0.0,1,91,24,1,67172,95.4,47,250,Subscription,Other,tier2_vc,first_time,Failure
SaaS,0.0,,5.0,0.0,0,144,23,1,22104,,15,250,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,261,4,0,66454,,26,100,Subscription,Other,none,serial_founder,Acquisition
SaaS,36.8,66.3,12.7,14.2,4,217,3,0,221916,46.4,155,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,12.6,72.5,15.23,5.2,2,257,16,0,186786,53.0,74,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,147,19,1,178052,,71,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,133,23,1,75327,,30,100,Subscription,North America,none,first_time,IPO
Other,14.0,36.7,5.71,1.3,3,217,14,0,114075,22.6,45,100,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,162,8,0,60363,,24,100,Subscription,North America,none,first_time,Acquisition
Ecommerce,14.59,120.0,24.31,3.6,1,216,2,0,114530,102.7,22,180,Marketplace,North America,none,first_time,IPO
SaaS,0.0,,5.0,0.0,0,25,13,1,162541,,113,250,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,211,11,1,25713,,10,100,Subscription,North America,none,first_time,Acquisition
Other,10.0,120.0,40.0,3.6,1,287,0,0,179171,116.9,71,100,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,277,2,1,185530,,74,100,Subscription,North America,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,257,2,0,195864,,137,250,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,130,3,1,62910,,25,100,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,16,8,1,100902,,40,100,Subscription,North America,none,first_time,IPO
Other,0.0,,5.0,0.0,0,105,19,1,26686,,10,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,24,2,1,78666,,31,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,230,12,1,176577,,70,100,Subscription,Other,none,first_time,Acquisition
Other,6.58,120.0,26.3,3.6,1,119,7,1,143306,103.7,57,100,Subscription,North America,tier2_vc,academic,Acquisition
SaaS,0.0,,5.0,0.0,0,285,18,1,121951,,85,250,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,23,15,0,93019,,37,100,Subscription,North America,none,academic,Acquisition
Other,2.4,120.0,9.6,3.6,1,145,11,1,104868,80.9,41,100,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,144,11,1,31976,,12,100,Subscription,Europe,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,10,18,1,42412,,16,100,Subscription,Other,none,ex_bigtech,Acquisition
Ecommerce,0.0,,5.0,0.0,0,222,16,0,101074,,20,180,Marketplace,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,114,8,1,113001,,45,100,Subscription,Other,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,63,0,1,131740,,52,100,Subscription,Other,none,first_time,Acquisition
Ecommerce,0.0,,5.0,0.0,0,176,16,0,173731,,34,180,Marketplace,Other,none,first_time,Acquisition
Other,1.0,120.0,4.0,3.6,1,170,16,1,89511,99.0,35,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,27,3,1,197912,,138,250,Subscription,Other,none,first_time,Acquisition
Other,0.0,144.1,0.0,0.0,2,271,21,1,123112,117.3,49,100,Subscription,North America,none,serial_founder,Acquisition
Health,36.4,54.2,27.38,10.5,3,196,0,0,410688,82.3,164,350,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
Other,0.0,61.5,0.0,0.0,3,256,6,1,422028,89.3,168,100,Subscription,North America,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,258,21,1,181236,,72,100,Subscription,Other,none,academic,Acquisition
SaaS,0.0,,5.0,0.0,0,186,22,1,116307,,81,250,Subscription,Other,none,first_time,Acquisition
Other,0.0,240.0,0.0,0.0,2,152,20,1,184900,206.9,73,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,174,0,1,106116,,42,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,91,11,1,117825,,47,100,Subscription,Asia,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,194,24,1,156493,,109,250,Subscription,North America,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,91,3,1,140949,,56,100,Subscription,Europe,none,first_time,Acquisition
Other,0.0,68.5,0.0,0.0,6,254,23,1,1014984,77.8,405,100,Subscription,North America,none,first_time,Acquisition
SaaS,0.0,46.2,0.0,0.0,2,68,8,1,297248,63.0,208,250,Subscription,North America,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,218,21,1,153148,,61,100,Subscription,Other,none,first_time,Acquisition
Ecommerce,0.0,,5.0,0.0,0,24,18,0,20090,,4,180,Marketplace,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,196,23,1,197908,,79,100,Subscription,North America,none,ex_bigtech,Acquisition
Health,0.23,120.0,1.17,3.5,1,133,10,0,40575,62.6,16,350,Subscription,North America,none,first_time,IPO
Other,0.0,,5.0,0.0,0,94,10,0,181754,,72,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,132,10,0,58768,,23,100,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,113,8,1,76816,,53,250,Subscription,Other,none,academic,Acquisition
SaaS,0.0,,5.0,0.0,0,181,12,0,134669,,94,250,Subscription,Europe,none,ex_bigtech,Acquisition
Other,2.15,143.1,5.13,5.6,2,179,0,1,49340,64.3,19,100,Subscription,Middle East,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,235,0,0,40974,,16,100,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,120.0,0.0,0.0,1,92,17,0,83263,84.6,33,100,Subscription,North America,none,first_time,Failure
SaaS,0.0,,5.0,0.0,0,224,4,1,176509,,123,250,Subscription,Other,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,154,2,1,137021,,95,250,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,134,5,1,181131,,126,250,Subscription,Other,none,first_time,Acquisition
SaaS,7.6,124.4,9.85,5.5,2,91,21,1,254546,131.3,178,250,Subscription,North America,tier2_vc,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,144,23,1,73614,,51,250,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,259,22,1,143414,,57,100,Subscription,Europe,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,33,3,0,133097,,53,100,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,4.2,32.5,1.42,1.3,2,144,20,1,114174,22.1,79,250,Subscription,North America,tier2_vc,serial_founder,Acquisition
SaaS,4.8,120.0,12.0,3.6,1,280,2,1,167895,84.5,117,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,14.25,47.4,11.25,15.0,2,6,0,0,301532,45.6,120,100,Subscription,North America,tier2_vc,serial_founder,Acquisition
SaaS,19.6,56.8,11.6,7.1,2,15,22,1,183640,25.5,128,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,2.36,120.0,9.44,3.6,1,155,7,0,46912,125.2,18,100,Subscription,Other,tier2_vc,ex_bigtech,Failure
Health,0.0,,5.0,0.0,0,71,1,1,194790,,77,350,Subscription,North America,none,academic,IPO
Other,0.0,,5.0,0.0,0,44,3,1,160230,,64,100,Subscription,Asia,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,177,18,1,53758,,21,100,Subscription,Asia,none,ex_bigtech,IPO
SaaS,0.0,,5.0,0.0,0,49,10,1,51745,,36,250,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,294,20,0,146610,,58,100,Subscription,North America,none,ex_bigtech,IPO
SaaS,0.0,,5.0,0.0,0,126,14,1,174315,,122,250,Subscription,North America,none,serial_founder,IPO
Other,0.0,,5.0,0.0,0,167,20,1,135125,,54,100,Subscription,North America,none,first_time,Acquisition
Other,54.78,91.3,12.83,7.6,13,279,19,0,2459405,77.3,500,100,Subscription,North America,tier2_vc,ex_bigtech,IPO
SaaS,0.0,,5.0,0.0,0,217,8,1,42533,,29,250,Subscription,Other,none,first_time,Acquisition
SaaS,5.2,120.0,13.0,3.6,1,41,0,1,197793,94.2,138,250,Subscription,North America,tier2_vc,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,212,19,0,110538,,77,250,Subscription,North America,none,serial_founder,Acquisition
Other,5.2,37.2,2.15,0.0,3,107,22,0,338301,25.7,135,100,Subscription,Other,tier2_vc,ex_bigtech,Acquisition
Other,7.0,120.0,28.0,3.6,1,81,21,1,94413,87.8,37,100,Subscription,North America,tier2_vc,ex_bigtech,Failure
SaaS,0.0,,5.0,0.0,0,224,10,1,37624,,26,250,Subscription,Europe,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,209,0,1,103620,,41,100,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,288,11,0,198329,,138,250,Subscription,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,107,3,1,38194,,15,100,Subscription,Other,none,academic,Acquisition
Health,0.0,,5.0,0.0,0,276,2,0,54688,,21,350,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,237,3,1,169627,,67,100,Subscription,North America,none,ex_bigtech,IPO
SaaS,0.0,,5.0,0.0,0,76,24,1,159105,,111,250,Subscription,Europe,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,243,23,0,25980,,18,250,Subscription,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,190,6,0,51314,,20,100,Subscription,Europe,none,serial_founder,Acquisition
Health,0.0,,5.0,0.0,0,23,4,1,90216,,36,350,Subscription,Middle East,none,first_time,IPO
SaaS,5.6,77.2,4.51,8.0,2,111,8,1,134246,109.6,93,250,Subscription,Other,tier2_vc,academic,Acquisition
Other,0.0,,5.0,0.0,0,229,16,1,156635,,62,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,294,20,0,36870,,14,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,207,0,1,80706,,32,100,Subscription,Asia,none,academic,IPO
SaaS,0.0,,5.0,0.0,0,244,5,1,171016,,119,250,Subscription,North America,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,215,4,1,85085,,34,100,Subscription,North America,none,first_time,IPO
SaaS,5.84,120.0,14.6,3.6,1,266,12,1,196119,71.1,137,250,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,274,0,0,94279,,37,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,262,5,1,51863,,20,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,284,8,0,149106,,59,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,145,15,0,56601,,22,100,Subscription,Europe,none,serial_founder,Acquisition
SaaS,0.0,120.0,0.0,0.0,1,255,19,1,153489,91.7,107,250,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
SaaS,0.4,120.0,1.0,3.0,1,28,18,1,52878,71.9,37,250,Subscription,North America,tier2_vc,ex_bigtech,Failure
Other,0.0,,5.0,0.0,0,216,19,1,67791,,27,100,Subscription,Europe,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,49,6,0,164161,,65,100,Subscription,Other,none,first_time,Acquisition
Other,0.05,120.0,0.2,0.6,1,176,18,0,189050,89.0,75,100,Subscription,Other,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,185,15,1,156536,,62,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,160,20,1,59815,,23,100,Subscription,North America,none,first_time,IPO
SaaS,0.0,,5.0,0.0,0,219,21,1,118548,,82,250,Subscription,Asia,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,235,16,1,136186,,54,100,Subscription,North America,none,first_time,Acquisition
Health,5.0,120.0,25.0,3.6,1,64,10,1,78330,118.7,31,350,Subscription,Europe,none,first_time,IPO
